strainrate,T
1.00E-05,-3
3.40E-08,-5
1.37E-04,-5.2
7.98E-05,-5.4
1.08E-04,-5.6
1.78E-04,-5.6
6.00E-07,-7
2.50E-06,-7
2.50E-06,-7
1.00E-05,-7
2.50E-06,-17
1.10E-05,-9.1
2.31E-06,-9.3
9.05E-05,-9.3
1.13E-05,-9.3
1.18E-06,-9.5
4.40E-05,-9.6
2.42E-04,-9.7
1.35E-05,-9.7
5.02E-05,-9.8
2.50E-06,-10
1.00E-05,-10
6.60E-09,-10
7.50E-08,-15
3.60E-08,-15
1.40E-08,-15
3.30E-09,-15
7.00E-10,-15
2.10E-07,-19
1.80E-08,-19
6.80E-09,-19
1.30E-09,-19
4.90E-10,-19
9.49E-05,-20.1
1.19E-04,-20.4
2.30E-08,-21
7.20E-10,-21
1.28E-04,-29.9
2.60E-06,-30
7.20E-06,-30
2.80E-05,-30
1.25E-04,-30.5
1.46E-04,-30.6